filename,solution,alternate_solutions,category,exact_spelling,theme
0109.jpg,Last chance,,Visual Composition,Yes,common_phrase
0110.jpg,Last straw,,"Visual Composition, Cultural Symbolism",Yes,idioms and expressions
0111.jpg,Laugh out loud,,Visual Composition,Yes,common_phrase
0112.jpg,Left over food,"[""Leftover food"", ""Leftovers""]",Spatial Encoding,Yes,
0113.jpg,Lieutenant,,"Quantitative Logic, Phonetic Transformation",No,
0114.jpg,Life after death,,"Spatial Encoding, Visual Composition",Yes,common_phrase
0115.jpg,Life begins at 40,"[""Life begins at forty""]","Spatial Encoding, Visual Composition",Yes,
0116.jpg,Light at the end of the tunnel,,"Visual Composition, Cultural Symbolism",Yes,idioms and expressions
0117.jpg,Light rain,,Visual Composition,Yes,
0118.jpg,Live in peace,,Spatial Encoding,Yes,idioms and expressions
0119.jpg,Lockdown,,Spatial Encoding,Yes,
0120.jpg,Long overdue,,Spatial Encoding,Yes,
0121.jpg,Long time no see,,"Absence Reasoning, Quantitative Logic",No,common_phrase
0122.jpg,Looking back,,"Spatial Encoding, Cultural Symbolism",Yes,idioms and expressions
0123.jpg,Lost in translation,,"Visual Composition, Spatial Encoding",Yes,idioms and expressions
0124.jpg,Love is blind,,"Visual Composition, Cultural Symbolism",Yes,idioms and expressions
0125.jpg,Lower your voice ,,Spatial Encoding,Yes,
0126.jpg,Lunchbox,,"Visual Composition, Spatial Encoding",Yes,
0127.jpg,Make ends meet,,"Visual Composition, Cultural Symbolism",Yes,idioms and expressions
0128.jpg,Making up for lost time,,"Spatial Encoding, Quantitative Logic, Cultural Symbolism, Visual Composition",Yes,idioms and expressions
0129.jpg,Metaphor,,Quantitative Logic,No,
0130.jpg,Middle age,,"Spatial Encoding, Visual Composition",Yes,
0131.jpg,Missing u,"[""Missing you""]",Absence Reasoning,No,
0132.jpg,Misunderstood,,"Visual Composition, Spatial Encoding",Yes,
0133.jpg,Mixed emotions,,"Visual Composition, Cultural Symbolism",Yes,idioms and expressions
0134.jpg,Mixed greens,,"Visual Composition, Cultural Symbolism",Yes,food and cuisine
0135.jpg,Moral support,,"Spatial Encoding, Visual Composition",Yes,
0136.jpg,More harm than good,,"Quantitative Logic, Cultural Symbolism",Yes,idioms and expressions
0137.jpg,More often than not,,"Quantitative Logic, Cultural Symbolism",Yes,idioms and expressions
0138.jpg,Mugshots,,"Absence Reasoning, Visual Composition",Yes,
0139.jpg,Nervous breakdown,,"Spatial Encoding, Cultural Symbolism, Visual Composition",Yes,
0140.jpg,Never too old to learn,,"Quantitative Logic, Cultural Symbolism ",Yes,proverbs and sayings
0141.jpg,No I in team,,"Spatial Encoding, Absence Reasoning, Cultural Symbolism",Yes,idioms and expressions
0142.jpg,No one to blame,,"Absence Reasoning, Visual Composition, Cultural Symbolism",Yes,idioms and expressions
0143.jpg,No second chances,,"Absence Reasoning, Visual Composition",Yes,common_phrase
0144.jpg,Leave no stone unturned,,"Spatial Encoding, Phonetic Transformation, Cultural Symbolism, Visual Composition",No,idioms and expressions
0145.jpg,No time like the present,,"Visual Composition, Cultural Symbolism",Yes,proverbs and sayings
0146.jpg,Nobel prize ,,"Visual Composition, Absence Reasoning",Yes,
0147.jpg,Noon tea,"[""Afternoon tea""]","Quantitative Logic, Visual Composition, Phonetic Transformation, Cultural Symbolism",Yes,food and cuisine
0148.jpg,Not cut out for it,,"Phonetic Transformation, Spatial Encoding, Quantitative Logic, Cultural Symbolism",No,idioms and expressions
0149.jpg,Ok by me,"[""Okay by me""]","Spatial Encoding, Cultural Symbolism",Yes,idioms and expressions
0150.jpg,On cloud nine,,"Spatial Encoding, Cultural Symbolism",No,idioms and expressions
0151.jpg,On the same page,,"Visual Composition, Cultural Symbolism",Yes,idioms and expressions
0152.jpg,One in a million,"[""1 in a million""]","Spatial Encoding, Cultural Symbolism, Visual Composition",Yes,idioms and expressions
0153.jpg,Over and over again,"[""Over & over again"", ""Over & over"", ""Over and over""]",Visual Composition,Yes,idioms and expressions
0154.jpg,Overseas travel,,"Spatial Encoding, Phonetic Transformation",No,
0155.jpg,Party animal,,"Absence Reasoning, Phonetic Transformation, Cultural Symbolism",Yes,idioms and expressions
0156.jpg,Piece of pumpkin pie,,"Spatial Encoding, Cultural Symbolism",Yes,food and cuisine
0157.jpg,Ping pong,,Spatial Encoding,Yes,
0158.jpg,Pirate ship,,"Quantitative Logic, Visual Composition",Yes,
0159.jpg,Poison Ivy,,"Spatial Encoding, Phonetic Transformation",No,
0160.jpg,Popcorn,,Visual Composition,Yes,food and cuisine
0161.jpg,Potatoes,,Quantitative Logic,Yes,food and cuisine
0162.jpg,Radar,,"Quantitative Logic, Phonetic Transformation",No,
0163.jpg,Raining cats and dogs,,"Cultural Symbolism, Visual Composition",Yes,idioms and expressions
0164.jpg,Read between the lines,,"Spatial Encoding, Cultural Symbolism, Visual Composition",Yes,idioms and expressions
0165.jpg,Ready to go,"[""Ready to-go"", ""Ready-to-go""]","Quantitative Logic, Phonetic Transformation, Visual Composition",No,common_phrase
0166.jpg,Right under my nose,,"Spatial Encoding, Cultural Symbolism, Visual Composition",Yes,idioms and expressions
0167.jpg,Robinhood,,Spatial Encoding,Yes,
0168.jpg,Running out of time,,"Spatial Encoding, Visual Composition",Yes,common_phrase
0169.jpg,Searching high and low,,"Spatial Encoding, Cultural Symbolism",Yes,idioms and expressions
0170.jpg,Second in command,,"Visual Composition, Quantitative Logic, Spatial Encoding",Yes,
0171.jpg,Shopping online,,"Spatial Encoding, Visual Composition",Yes,common_phrase
0172.jpg,Six feet under,"[""Six feet underground""]","Quantitative Logic, Cultural Symbolism, Visual Composition",Yes,idioms and expressions
0173.jpg,Slightly overcast,,Spatial Encoding,Yes,
0174.jpg,Somewhere over the rainbow,,"Spatial Encoding, Cultural Symbolism, Visual Composition",Yes,idioms and expressions
0175.jpg,Spam inbox,,Spatial Encoding,Yes,
0176.jpg,Square root,,Visual Composition,Yes,
0177.jpg,Stand by me,,"Spatial Encoding, Cultural Symbolism",Yes,idioms and expressions
0178.jpg,Starbucks,,"Visual Composition, Cultural Symbolism",Yes,food and cuisine
0179.jpg,Sunny side up,,"Spatial Encoding, Cultural Symbolism",Yes,food and cuisine
0180.jpg,Sweet tooth,,"Visual Composition, Cultural Symbolism",No,idioms and expressions
0181.jpg,Tennis shoes,,"Quantitative Logic, Phonetic Transformation",Yes,
0182.jpg,That's beside the point,"[""That is beside the point""]","Spatial Encoding, Cultural Symbolism, Visual Composition",Yes,idioms and expressions
0183.jpg,The beginning of the end,,"Spatial Encoding, Visual Composition",Yes,common_phrase
0184.jpg,The underdog,,"Spatial Encoding, Cultural Symbolism",Yes,idioms and expressions
0185.jpg,Time is money,,"Visual Composition, Cultural Symbolism",Yes,idioms and expressions
0186.jpg,To infinity and beyond,,"Spatial Encoding, Quantitative Logic, Cultural Symbolism, Visual Composition",Yes,idioms and expressions
0187.jpg,Too cool to school,,Quantitative Logic,Yes,common_phrase
0188.jpg,Top secret,,Visual Composition,No,
0189.jpg,Tuna fish,,"Quantitative Logic, Phonetic Transformation, Visual Composition",Yes,food and cuisine
0190.jpg,Two heads are better than one,,"Quantitative Logic, Visual Composition, Cultural Symbolism",Yes,proverbs and sayings
0191.jpg,Unfinished business,,"Visual Composition, Absence Reasoning",No,common_phrase
0192.jpg,Up to no good,,"Spatial Encoding, Phonetic Transformation",Yes,common_phrase
0193.jpg,Water under the bridge,,"Spatial Encoding, Visual Composition, Cultural Symbolism",Yes,idioms and expressions
0194.jpg,Weather forecast,,Quantitative Logic,Yes,
0195.jpg,Readymade,"[""Ready made"", ""Ready-made""]",Visual Composition,No,
0196.jpg,Red in the face,,"Spatial Encoding, Cultural Symbolism",Yes,idioms and expressions
0197.jpg,Reverse psychology,,Spatial Encoding,Yes,
0198.jpg,Safe and sound,,"Visual Composition, Cultural Symbolism",Yes,idioms and expressions
0199.jpg,Safety in numbers,,"Spatial Encoding, Cultural Symbolism",Yes,idioms and expressions
0200.jpg,Scrambled eggs,,"Visual Composition, Cultural Symbolism",Yes,food and cuisine
0201.jpg,Side effects,"[""Side effect""]",Spatial Encoding,Yes,
0202.jpg,Sitting on top of the world,,"Spatial Encoding, Cultural Symbolism",Yes,idioms and expressions
0203.jpg,Small talk,,Visual Composition,Yes,
0204.jpg,Space invaders,,"Spatial Encoding, Visual Composition",Yes,movies and entertainment
0205.jpg,Split level,,"Spatial Encoding, Visual Composition",Yes,
0206.jpg,Split pea soup,,"Spatial Encoding, Visual Composition, Cultural Symbolism",Yes,food and cuisine
0207.jpg,Stability,,Visual Composition,Yes,
0208.jpg,Street corner,,"Spatial Encoding, Visual Composition",Yes,
0209.jpg,Summaries,"[""Summary""]",Quantitative Logic,No,
0210.jpg,Summer,,"Quantitative Logic, Phonetic Transformation",No,
0211.jpg,Too big to ignore,,"Quantitative Logic, Phonetic Transformation",Yes,common_phrase
0212.jpg,Trail mix,,"Visual Composition, Cultural Symbolism",Yes,food and cuisine
0213.jpg,Triangle,,"Quantitative Logic, Visual Composition",Yes,
0214.jpg,Try to understand,,Spatial Encoding,Yes,common_phrase
0215.jpg,Up bright and early,,"Spatial Encoding, Visual Composition",No,common_phrase
0216.jpg,Up for grabs,,Spatial Encoding,Yes,common_phrase
0217.jpg,What goes up must come down,,"Spatial Encoding, Cultural Symbolism",Yes,proverbs and sayings
0218.jpg,Who is in charge,"[""Who's in charge""]",Spatial Encoding,Yes,
0219.jpg,Win with ease,,Phonetic Transformation,No,
0220.jpg,You are full of bologna,"[""You are full of baloney""]","Spatial Encoding, Cultural Symbolism, Phonetic Transformation",Yes,idioms and expressions
0221.jpg,You are in trouble,"[""u r in trouble"", ""Are you in trouble"", ""r u in trouble""]","Spatial Encoding, Visual Composition",No,
